ticket class,gender,age,sibl. sp.,par. ch.,ticket fare,embarked
1,male,4,0,2,81.8583,Southampt
2,female,4,2,1,39,Southampt
2,female,4,1,1,23,Southampt
3,male,4,1,1,11.1333,Southampt
2,female,5,1,2,27.75,Southampt
3,female,5,4,2,31.3875,Southampt
3,female,5,0,0,12.475,Southampt
2,female,6,0,1,33,Southampt
3,male,6,0,1,12.475,Southampt
2,female,7,0,2,26.25,Southampt
2,female,8,0,2,26.25,Southampt
2,male,8,1,1,36.75,Southampt
3,male,9,0,2,20.525,Southampt
3,male,9,1,1,15.9,Southampt
1,male,11,1,2,120,Southampt
2,female,13,0,1,19.5,Southampt
1,female,14,1,2,120,Southampt
1,female,15,0,1,211.3375,Southampt
3,male,16,0,0,8.05,Southampt
1,female,16,0,0,86.5,Southampt
1,female,16,0,1,39.4,Southampt
3,female,17,4,2,7.925,Southampt
2,female,17,0,0,10.5,Southampt
1,female,17,1,0,57,Southampt
3,male,18,0,0,8.05,Southampt
2,female,18,0,2,13,Southampt
1,female,18,0,2,79.65,Southampt
2,female,18,0,1,23,Southampt
3,female,18,0,0,9.8417,Southampt
3,female,18,0,0,7.4958,Southampt
3,female,18,0,1,9.35,Southampt
1,female,19,0,2,26.2833,Southampt
3,female,19,1,0,7.8542,Southampt
2,male,19,0,0,10.5,Southampt
3,male,19,0,0,8.05,Southampt
2,female,19,0,0,26,Southampt
2,female,19,1,0,26,Southampt
1,female,19,0,0,30,Southampt
3,male,20,1,0,7.925,Southampt
2,female,21,0,0,10.5,Southampt
3,female,21,0,0,7.65,Southampt
3,male,21,0,0,7.7958,Southampt
1,female,21,0,0,77.9583,Southampt
3,female,22,0,0,7.75,Southampt
1,female,22,1,0,66.6,Southampt
2,female,22,1,1,29,Southampt
1,female,22,0,1,55,Southampt
3,female,22,0,0,7.25,Southampt
3,female,22,0,0,7.775,Southampt
1,female,22,0,0,151.55,Southampt
1,female,23,3,2,263,Southampt
3,female,23,0,0,7.55,Southampt
3,male,24,0,0,7.1417,Southampt
3,female,24,1,0,15.85,Southampt
2,female,24,0,2,14.5,Southampt
2,female,24,1,0,26,Southampt
1,female,24,3,2,263,Southampt
2,female,24,0,0,13,Southampt
3,female,24,0,2,16.7,Southampt
2,female,24,2,3,18.75,Southampt
2,female,24,2,1,27,Southampt
2,female,24,1,2,65,Southampt
3,male,25,1,0,7.775,Southampt
3,male,25,0,0,0,Southampt
2,female,25,1,1,30,Southampt
2,female,25,0,1,26,Southampt
3,female,26,0,0,7.925,Southampt
1,female,26,0,0,78.85,Southampt
3,female,26,0,0,7.8542,Southampt
3,male,26,0,0,56.4958,Southampt
3,female,27,0,2,11.1333,Southampt
3,male,27,0,0,7.7958,Southampt
3,female,27,0,0,7.925,Southampt
1,male,27,0,0,30.5,Southampt
2,female,27,0,0,10.5,Southampt
1,male,27,1,0,53.1,Southampt
3,male,27,0,0,6.975,Southampt
3,male,27,0,0,8.6625,Southampt
3,female,27,0,1,12.475,Southampt
1,male,28,0,0,35.5,Southampt
2,female,28,0,0,12.65,Southampt
2,female,28,1,0,26,Southampt
1,male,28,0,0,26.55,Southampt
2,female,28,0,0,13,Southampt
2,female,28,0,0,13,Southampt
2,female,29,1,0,26,Southampt
2,female,29,0,0,10.5,Southampt
3,male,29,0,0,9.5,Southampt
2,female,29,1,0,26,Southampt
1,female,29,0,0,211.3375,Southampt
3,female,30,0,0,12.475,Southampt
1,female,30,0,0,86.5,Southampt
3,male,30,0,0,9.5,Southampt
1,female,30,0,0,93.5,Southampt
2,female,30,3,0,21,Southampt
2,female,30,0,0,13,Southampt
1,female,31,0,2,164.8667,Southampt
3,female,31,1,1,20.525,Southampt
2,male,31,0,0,13,Southampt
1,male,31,1,0,57,Southampt
3,male,31,0,0,7.925,Southampt
3,female,31,0,0,8.6833,Southampt
2,female,31,1,1,26.25,Southampt
3,male,32,0,0,56.4958,Southampt
2,female,32,0,0,13,Southampt
3,male,32,0,0,8.05,Southampt
2,male,32,1,0,26,Southampt
3,male,32,0,0,7.8542,Southampt
3,male,32,0,0,7.925,Southampt
3,male,32,0,0,56.4958,Southampt
2,female,32.5,0,0,13,Southampt
3,female,33,3,0,15.85,Southampt
2,female,33,1,2,27.75,Southampt
2,female,33,0,2,26,Southampt
1,female,33,0,0,86.5,Southampt
1,female,33,1,0,53.1,Southampt
2,male,34,0,0,13,Southampt
2,female,34,0,1,23,Southampt
2,female,34,1,1,32.5,Southampt
1,male,34,0,0,26.55,Southampt
2,female,34,0,0,10.5,Southampt
2,female,34,0,0,13,Southampt
1,female,35,1,0,53.1,Southampt
2,female,35,0,0,21,Southampt
1,female,35,1,0,83.475,Southampt
1,female,35,0,0,135.6333,Southampt
3,female,35,1,1,20.25,Southampt
1,female,35,1,0,52,Southampt
1,female,35,1,0,90,Southampt
1,male,35,0,0,26.2875,Southampt
2,female,36,0,0,13,Southampt
2,female,36,0,0,13,Southampt
1,male,36,1,2,120,Southampt
1,male,36,0,0,26.2875,Southampt
2,female,36,1,0,26,Southampt
1,female,36,0,2,71,Southampt
3,female,36,1,0,17.4,Southampt
1,male,36,0,0,26.3875,Southampt
1,female,36,1,2,120,Southampt
1,male,37,1,1,52.5542,Southampt
3,female,38,1,5,31.3875,Southampt
1,male,38,1,0,90,Southampt
3,male,39,0,0,7.925,Southampt
1,female,39,1,1,79.65,Southampt
1,female,39,1,0,55.9,Southampt
2,female,40,0,0,15.75,Southampt
2,female,40,0,0,13,Southampt
1,female,40,0,0,153.4625,Southampt
2,female,40,1,1,39,Southampt
2,female,41,0,1,19.5,Southampt
2,male,42,0,0,13,Southampt
2,female,42,1,0,26,Southampt
1,male,42,1,0,52.5542,Southampt
1,male,42,0,0,26.2875,Southampt
2,female,42,0,0,13,Southampt
1,female,43,0,1,211.3375,Southampt
3,male,44,0,0,7.925,Southampt
1,male,45,0,0,26.55,Southampt
3,male,45,0,0,8.05,Southampt
2,female,45,1,1,26.25,Southampt
2,female,45,0,0,13.5,Southampt
1,female,45,1,1,164.8667,Southampt
1,female,47,1,1,52.5542,Southampt
1,male,48,0,0,26.55,Southampt
1,male,48,1,0,52,Southampt
2,female,48,1,2,65,Southampt
1,female,48,0,0,25.9292,Southampt
1,female,49,0,0,25.9292,Southampt
2,female,50,0,1,26,Southampt
2,female,50,0,0,10.5,Southampt
2,female,50,0,0,10.5,Southampt
1,male,50,2,0,133.65,Southampt
1,female,51,1,0,77.9583,Southampt
1,male,51,0,0,26.55,Southampt
1,male,52,0,0,30.5,Southampt
1,female,52,1,1,93.5,Southampt
1,female,53,2,0,51.4792,Southampt
2,female,54,1,3,23,Southampt
2,female,55,0,0,16,Southampt
1,female,58,0,0,26.55,Southampt
1,female,58,0,1,153.4625,Southampt
2,male,62,0,0,10.5,Southampt
1,female,63,1,0,77.9583,Southampt
3,female,63,0,0,9.5875,Southampt
1,male,80,0,0,30,Southampt
